date	time	milli	price	qty	turnover	cumOpenint	yp	bid	bid.qty	ask	ask.qty	cum.qty	cum.turnover
20210421	21:01:11	0	13870	19	2634850.0	223126	13910	13865	62	13870	40	7222	1001303750
20210421	21:01:11	500	13865	6	832100.0	223126	13910	13865	85	13870	41	7228	1002135850
20210421	21:01:12	0	13865	14	1941650.0	223121	13910	13865	96	13870	29	7242	1004077500
20210421	21:01:12	500	13870	6	832200.0	223126	13910	13865	98	13870	28	7248	1004909700
20210421	21:01:13	0	13865	28	3882400.0	223133	13910	13865	75	13870	25	7276	1008792100
20210421	21:01:13	500	13865	3	416000.0	223130	13910	13865	78	13870	48	7279	1009208100
20210421	21:01:14	0	13865	7	970750.0	223131	13910	13865	75	13870	50	7286	1010178850
20210421	21:01:14	500	13865	82	11369300.0	223133	13910	13860	107	13865	5	7368	1021548150
20210421	21:01:15	0	13865	15	2079750.0	223135	13910	13860	108	13865	1	7383	1023627900
20210421	21:01:15	500	13865	4	554600.0	223135	13910	13865	22	13870	62	7387	1024182500
20210421	21:01:16	0	13870	1	138700.0	223136	13910	13865	62	13870	62	7388	1024321200
20210421	21:01:16	500	13865	63	8734950.0	223153	13910	13865	12	13870	63	7451	1033056150
20210421	21:01:17	0	13860	21	2911600.0	223139	13910	13860	125	13865	4	7472	1035967750
20210421	21:01:17	500	13865	20	2773050.0	223145	13910	13865	40	13870	77	7492	1038740800
20210421	21:01:18	0	13865	10	1386650.0	223141	13910	13865	36	13870	79	7502	1040127450
20210421	21:01:18	500	13865	3	415950.0	223141	13910	13865	30	13870	82	7505	1040543400
20210421	21:01:19	0	13860	42	5823250.0	223118	13910	13860	136	13865	1	7547	1046366650
20210421	21:01:19	500	13865	22	3050300.0	223121	13910	13860	136	13865	9	7569	1049416950
20210421	21:01:20	0	13865	28	3882200.0	223135	13910	13865	13	13870	98	7597	1053299150
20210421	21:01:20	500	13865	1	138650.0	223134	13910	13865	63	13870	102	7598	1053437800
20210421	21:01:21	0	13865	41	5684650.0	223132	13910	13865	27	13870	102	7639	1059122450
20210421	21:01:21	500	13865	8	1109200.0	223136	13910	13865	13	13870	102	7647	1060231650
20210421	21:01:22	0	13865	41	5684950.0	223118	13910	13865	12	13870	104	7688	1065916600
20210421	21:01:22	500	13865	31	4298150.0	223139	13910	13865	5	13870	106	7719	1070214750
20210421	21:01:23	0	13870	22	3050450.0	223137	13910	13865	5	13870	103	7741	1073265200
20210421	21:01:23	500	13865	11	1525650.0	223127	13910	13865	62	13870	93	7752	1074790850
20210421	21:01:24	0	13875	99	13731350.0	223124	13910	13870	49	13875	105	7851	1088522200
20210421	21:01:24	500	13875	114	15817150.0	223125	13910	13875	20	13880	113	7965	1104339350
20210421	21:01:25	0	13870	33	4578550.0	223120	13910	13870	53	13875	40	7998	1108917900
20210421	21:01:25	500	13875	13	1803150.0	223108	13910	13870	60	13875	44	8011	1110721050
20210421	21:01:26	0	13870	5	693600.0	223103	13910	13870	58	13875	42	8016	1111414650
20210421	21:01:26	500	13870	5	693500.0	223104	13910	13870	53	13875	42	8021	1112108150
